title,author,poembr
东溪,梅尧臣〔宋代〕,行到东溪看水时，坐临孤屿发船迟.<br>野凫眠岸有闲意，老树着花无丑枝.<br>短短蒲茸齐似剪，平平沙石净于筛.<br>情虽不厌住不得，薄暮归来车马疲。
鲁山山行,梅尧臣〔宋代〕,适与野情惬，千山高复低.<br>好峰随处改，幽径独行迷.<br>霜落熊升树，林空鹿饮溪.<br>人家在何许？云外一声鸡。
陶者,梅尧臣〔宋代〕,陶尽门前土，屋上无片瓦.<br>十指不沾泥，鳞鳞居大厦。
考试毕登铨楼,梅尧臣〔宋代〕,春云浓淡日微光，双阙重门耸建章.<br>不上楼来知几日，满城无算柳梢黄。
初晴游沧浪亭,苏舜钦〔宋代〕,夜雨连明春水生，娇云浓暖弄阴晴.<br>帘虚日薄花竹静，时有乳鸠相对鸣。
夏意,苏舜钦〔宋代〕,别院深深夏席清，石榴开遍透帘明.<br>树阴满地日当午，梦觉流莺时一声。
蚕妇,张俞〔宋代〕,昨日入城市，归来泪满巾.<br>遍身罗绮者，不是养蚕人。
晚泊岳阳,欧阳修〔宋代〕,卧闻岳阳城里钟，系舟岳阳城下树.<br>正见空江明月来，云水苍茫失江路.<br>夜深江月弄清辉，水上人歌月下归；一阕声长听不尽，轻舟短楫去如飞。
画眉鸟,欧阳修〔宋代〕,百啭千声随意移，山花红紫树高低.<br>始知锁向金笼听，不及林间自在啼。
戏答元珍,欧阳修〔宋代〕,春风疑不到天涯，二月山城未见花.<br>残雪压枝犹有橘，冻雷惊笋欲抽芽.<br>夜闻归雁生乡思，病入新年感物华.<br>曾是洛阳花下客，野芳虽晚不须嗟。
丰乐亭游春·其三,欧阳修〔宋代〕,红树青山日欲斜，长郊草色绿无涯.<br>游人不管春将老，来往亭前踏落花。
别滁,欧阳修〔宋代〕,花光浓烂柳轻明，酌酒花前送我行.<br>我亦且如常日醉，莫教弦管作离声。
乡思,李觏〔宋代〕,人言落日是天涯，望极天涯不见家.<br>已恨碧山相阻隔，碧山还被暮云遮。
梅花,王安石〔宋代〕,墙角数枝梅，凌寒独自开.<br>遥知不是雪，为有暗香来。
叠题乌江亭,王安石〔宋代〕,百战疲劳壮士哀，中原一败势难回.<br>江东子弟今虽在，肯与君王卷土来？
元日,王安石〔宋代〕,爆竹声中一岁除，春风送暖入屠苏.<br>千门万户曈曈日，总把新桃换旧符。
泊船瓜洲,王安石〔宋代〕,京口瓜洲一水间，钟山只隔数重山.<br>春风又绿江南岸，明月何时照我还。
登飞来峰,王安石〔宋代〕,飞来山上千寻塔，闻说鸡鸣见日升.<br>不畏浮云遮望眼，自缘身在最高层。
夜直,王安石〔宋代〕,金炉香烬漏声残，翦翦轻风阵阵寒.<br>春色恼人眠不得，月移花影上栏杆。
春日偶成,程颢〔宋代〕,云淡风轻近午天，傍花随柳过前川.<br>时人不识余心乐，将谓偷闲学少年。
新晴·其一,刘攽〔宋代〕,青苔满地初晴后，绿树无人昼梦余.<br>唯有南风旧相识，偷开门户又翻书。
雨后池上,刘攽〔宋代〕,一雨池塘水面平，淡磨明镜照檐楹.<br>东风忽起垂杨舞，更作荷心万点声。
暑旱苦热,王令〔宋代〕,清风无力屠得热，落日着翅飞上山.<br>人固已惧江海竭，天岂不惜河汉干？昆仑之高有积雪，蓬莱之远常遗寒.<br>不能手提天下往，何忍身去游其间？
送春,王令〔宋代〕,三月残花落更开，小檐日日燕飞来.<br>子规夜半犹啼血，不信东风唤不回。
村居,张舜民〔宋代〕,水绕陂田竹绕篱，榆钱落尽槿花稀.<br>夕阳牛背无人卧，带得寒鸦两两归。
咏柳,曾巩〔宋代〕,乱条犹未变初黄，倚得东风势便狂.<br>解把飞花蒙日月，不知天地有清霜。
城南二首·其一,曾巩〔宋代〕,雨过横塘水满堤，乱山高下路东西.<br>一番桃李花开尽，惟有青青草色齐。
题西林壁,苏轼〔宋代〕,横看成岭侧成峰，远近高低各不同.<br>不识庐山真面目，只缘身在此山中。
惠崇春江晚景二首,苏轼〔宋代〕,竹外桃花三两枝，春江水暖鸭先知.<br>蒌蒿满地芦芽短，正是河豚欲上时.<br>两两归鸿欲破群，依依还似北归人.<br>遥知朔漠多风雪，更待江南半月春。
和子由渑池怀旧,苏轼〔宋代〕,人生到处知何似，应似飞鸿踏雪泥.<br>泥上偶然留指爪，鸿飞那复计东西.<br>老僧已死成新塔，坏壁无由见旧题.<br>往日崎岖还记否，路长人困蹇驴嘶。
春宵,苏轼〔宋代〕,春宵一刻值千金，花有清香月有阴.<br>歌管楼台声细细，秋千院落夜沉沉。
饮湖上初晴后雨二首·其二,苏轼〔宋代〕,水光潋滟晴方好，山色空蒙雨亦奇.<br>欲把西湖比西子，淡妆浓抹总相宜。
